Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
The Heresy Within,Rob J. Hayes,"",B0728DQVP5,digital,"","","","","","","","","","","","","","","","","",Yes
I Kill Monsters,Dennis Liggio,"",B00RPK225O,digital,"","","","","","","","","","","","","","","","","",Yes
Deathless,Rob J. Hayes,"","",digital,"","","","","","","","","","","","","","","","","",Yes
Shadow of a Dead God: A Mennik Thorn Novel,Patrick Samphire,"",,,"","","","","","","","","","","","","","","","","",Yes
A Mark of Kings,"Luke Chmilenko, Bryce O'Connor","",9780998810690,paperback,"","","","","","","","","","","","","","","","","",Yes
The Swordsman's Intent: A Royal Champion Novella,G.M. White,"",,digital,"","","","","","","","","","","","","","","","","",Yes
A Traitor in Skyhold,John Bierce,"",9781081898038,paperback,"","","","","","","","","","","","","","","","","",Yes
Beren and Lúthien,J.R.R. Tolkien,"",B01MG2HOWD,digital,"","","","","","","","","","","","","","","","","",Yes
Flameborn,Jamel Cato,"",,,"","","","","","","","","","","","","","","","","",Yes
The Girl and the Stars,Mark Lawrence,"","",,"","","","","","","","","","","","","","","","","",Yes
Wild Cards,George R.R. Martin,"Roger Zelazny, Melinda M. Snodgrass, Edward Bryant, Brian Bolland (Illustrator), Walter Jon Williams, John J. Miller, Lewis Shiner, Leanne C. Harper, Mike Zeck (Illustrator), Stephen Leigh, Howard Waldrop, Victor Milán",9781596872820,paperback,"","","","","","","","","","","","","","","","","",Yes
A River in Darkness: One Man's Escape from North Korea,Masaji Ishikawa,"Martin Brown (Translator), Risa Kobayashi (Translator)",9781542047197,paperback,"","","","","","","","","","","","","","","","","",Yes
The Shaping of Middle-Earth,"J.R.R. Tolkien, Christopher Tolkien","",9780261102187,paperback,"","","","","","","","","","","","","","","","","",Yes
Limited Wish,Mark Lawrence,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Occultist,Oliver Mayes,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Forging Divinity,Andrew Rowe,"","",digital,"","","","","","","","","","","","","","","","","",Yes
The Shattered Sword,TJ Reynolds,"",B086BKK1W3,digital,"","","","","","","","","","","","","","","","","",Yes
Cursed: An Anthology of Dark Fairy Tales,"Marie O'Regan, Paul Kane","Neil Gaiman, Jane Yolen, Charlie Jane Anders, Christopher Golden, M.R. Carey, Tim Lebbon, Jen Williams, Christopher Fowler, Alison Littlewood, Margo Lanagan, Karen Joy Fowler, Catriona Ward, Maura McHugh, Adam Stemple, James Brogden, Lilith Saintcrow, Christina Henry, Michael Marshall Smith, A.G. Slatter","",paperback,"","","","","","","","","","","","","","","","","",Yes
Chains of Blood,M.L. Spencer,"",9781951452957,hardcover,"","","","","","","","","","","","","","","","","",Yes
Lichgates,S.M. Boyce,"",193999733X,paperback,"","","","","","","","","","","","","","","","","",Yes
Sabriel,Garth Nix,"",9780061975134,digital,"","","","","","","","","","","","","","","","","",Yes
Into the Tall Grass,Alex Raizman,"",9798692203441,paperback,"","","","","","","","","","","","","","","","","",Yes
The Wolf & The Crow: Quintet,Dane Vale,Christine M. Scott (Illustrator),9781944286088,paperback,"","","","","","","","","","","","","","","","","",Yes
Hotel Sacher: A Novel,"Rodica Doehnert, Alison Layland","",,,"","","","","","","","","","","","","","","","","",Yes
The Narrows,Travis M. Riddle,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Chosen,Casey White,"","",,"","","","","","","","","","","","","","","","","",Yes
Darkmage,M.L. Spencer,"",,,"","","","","","","","","","","","","","","","","",Yes
Grey Sister,Mark Lawrence,"",9780008152352,paperback,"","","","","","","","","","","","","","","","","",Yes
Parable of the Talents,Octavia E. Butler,"",9781472263650,paperback,"","","","","","","","","","","","","","","","","",Yes
Unfinished Tales of Númenor and Middle-Earth,J.R.R. Tolkien,Christopher Tolkien,9780261102156,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Peoples of Middle-earth,"J.R.R. Tolkien, Christopher Tolkien","",,digital,"","","","","","","","","","","","","","","","","",Yes
The Blood-Tainted Winter,T.L. Greylock,"",9780996536615,digital,"","","","","","","","","","","","","","","","","",Yes
Fatemarked,David Estes,"",B01MTEK3NM,digital,"","","","","","","","","","","","","","","","","",Yes
Small Gods,Terry Pratchett,"Andy Serkis (Narrator), Peter Serafinowicz (Narrator), Bill Nighy (Narrator)",9781473588356,audio,"","","","","","","","","","","","","","","","","",Yes
The Song of the Ash Tree: The Complete Saga,T.L. Greylock,"","",,"","","","","","","","","","","","","","","","","",Yes
The Hunt for Red October,Tom Clancy,"",9780425172902,paperback,"","","","","","","","","","","","","","","","","",Yes
Network Effect,Martha Wells,"",9781250229861,hardcover,"","","","","","","","","","","","","","","","","",Yes
American Gods,Neil Gaiman,"","",paperback,"","","","","","","","","","","","","","","","","",Yes
The War of the Jewels,"J.R.R. Tolkien, Christopher Tolkien","",,digital,"","","","","","","","","","","","","","","","","",Yes
Partisans: The Conservative Revolutionaries Who Remade American Politics in the 1990s,Nicole Hemmer,"",9781541646889,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Ocean at the End of the Lane,Neil Gaiman,"",9780062255655,hardcover,"","","","","","","","","","","","","","","","","",Yes
Assassin's Apprentice - Illustrated Edition,Robin Hobb,Magali Villeneuve (Illustrator),9780553897487,digital,"","","","","","","","","","","","","","","","","",Yes
Jonathan Strange & Mr Norrell,Susanna Clarke,"",9780765356154,paperback,"","","","","","","","","","","","","","","","","",Yes
Lost Moon,"Jim Lovell, Jeffrey Kluger","",9780395670293,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Delivery of Flesh,Francis James Blair,"",,digital,"","","","","","","","","","","","","","","","","",Yes
To Kill a Mockingbird,Harper Lee,"",9780060935467,paperback,"","","","","","","","","","","","","","","","","",Yes
Stranger in a Strange Land,Robert A. Heinlein,"",9780143111627,hardcover,"","","","","","","","","","","","","","","","","",Yes
The City We Became,N.K. Jemisin,Robin Miles (Narrator),9781549157271,audio,"","","","","","","","","","","","","","","","","",Yes
The Reborn King,Michael R. Miller,"",B06WRVZLJ2,digital,"","","","","","","","","","","","","","","","","",Yes
Cataclysm,James A. Hunter,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Barrow King,C.M. Carney,"",,digital,"","","","","","","","","","","","","","","","","",Yes
The Mountain in the Sea,Ray Nayler,"",9780374605957,hardcover,"","","","","","","","","","","","","","","","","",Yes
Of Blood and Steel,Seymour Zeynalli,"",B08636PF4N,digital,"","","","","","","","","","","","","","","","","",Yes
A Time of Dread,John Gwynne,"",9781509812943,hardcover,"","","","","","","","","","","","","","","","","",Yes
Acadie,Dave Hutchinson,"",9780765398253,digital,"","","","","","","","","","","","","","","","","",Yes
Assassins of Brush and Blade,J.C. Kang,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Aching God,Mike Shel,"","",digital,"","","","","","","","","","","","","","","","","",Yes
The Right Stuff,Tom Wolfe,"",,,"","","","","","","","","","","","","","","","","",Yes
The Message,Ta-Nehisi Coates,"",9780593230381,hardcover,"","","","","","","","","","","","","","","","","",Yes
Heroes Wanted: A Fantasy Anthology,"Dyrk Ashton, Daniel Potter, M.D. Presley, Joe Jackson, Ben Galley, Phil Tucker, J.C. Kang, Will Wight, Mike Shel, Laura M. Hughes, K.S. Villoso, Jeramy Goble, Matt Moss, David Benem, Michael J. Sullivan, Jeffrey Hall","",1713321831,digital,"","","","","","","","","","","","","","","","","",Yes
A Dark Lure,Loreth Anne White,"",9781477828731,paperback,"","","","","","","","","","","","","","","","","",Yes
Taika Town,Drew Montgomery,"",9781726805810,paperback,"","","","","","","","","","","","","","","","","",Yes
A Power Renewed,Robert W. Ross,"","",paperback,"","","","","","","","","","","","","","","","","",Yes
Where Loyalties Lie,Rob J. Hayes,"",B071D6KB7D,digital,"","","","","","","","","","","","","","","","","",Yes
The Dragon Republic,R.F. Kuang,"",9780062662613,digital,"","","","","","","","","","","","","","","","","",Yes
The Pauper Prince and the Eucalyptus Jinn,Usman T. Malik,"",9781466886513,digital,"","","","","","","","","","","","","","","","","",Yes
Watcher's Test,Sean Oswald,"",,,"","","","","","","","","","","","","","","","","",Yes
Song of Edmon,Adam Burch,"",,,"","","","","","","","","","","","","","","","","",Yes
The Hundred Thousand Kingdoms,N.K. Jemisin,"",9780316043915,paperback,"","","","","","","","","","","","","","","","","",Yes
"A Lonely World Where The People Are Blue (A Galaxy, Alive: Book 1)",Rey S. Morfin,"",,audio,"","","","","","","","","","","","","","","","","",Yes
Forged in Shadow,Megan Haskell,"",,,"","","","","","","","","","","","","","","","","",Yes
Between Starfalls,S. Kaeth,"",,digital,"","","","","","","","","","","","","","","","","",Yes
The Brightest Shadow,Sarah Lin,"",B0856ZMG9Z,digital,"","","","","","","","","","","","","","","","","",Yes
Curse Of The Daemon Beast,Francis James Blair,"","",digital,"","","","","","","","","","","","","","","","","",Yes
Scythe,Neal Shusterman,"",1406379247,paperback,"","","","","","","","","","","","","","","","","",Yes
The Five Warriors,Angela J. Ford,"",,,"","","","","","","","","","","","","","","","","",Yes
Ritualist,Dakota Krout,"",B07B27XQLF,digital,"","","","","","","","","","","","","","","","","",Yes
The Lost City of Ithos,John Bierce,"",9798675092659,paperback,"","","","","","","","","","","","","","","","","",Yes
Dark Matter,Blake Crouch,"",9781447297550,digital,"","","","","","","","","","","","","","","","","",Yes
Fool's Errand,Robin Hobb,"",9780006486015,paperback,"","","","","","","","","","","","","","","","","",Yes
Emerald Helm: Tales Of Courtly Valour I,Andrew Marc Rowe,"",9781777106966,paperback,"","","","","","","","","","","","","","","","","",Yes
The Swordsman's Lament (The Royal Champion Book 1),G.M. White,"",,paperback,"","","","","","","","","","","","","","","","","",Yes
Ready Player One,Ernest Cline,"",9780307887436,hardcover,"","","","","","","","","","","","","","","","","",Yes
Still Waters,Viveca Sten,Marlaine Delargy (Translator),9781503945708,paperback,"","","","","","","","","","","","","","","","","",Yes
Bloody Rose,Nicholas Eames,"",9780356509044,paperback,"","","","","","","","","","","","","","","","","",Yes
Chasing Graves,Ben Galley,"","",digital,"","","","","","","","","","","","","","","","","",Yes
The Library,Casey White,"",9798669516680,digital,"","","","","","","","","","","","","","","","","",Yes
Sword of the Scarred: Book One of the Scarred World Saga,Jeffrey Hall,"",9798676532222,paperback,"","","","","","","","","","","","","","","","","",Yes
The Immortal War (Dathen Legends Book 1),N.J. Franco,"",,digital,"","","","","","","","","","","","","","","","","",Yes
One Word Kill,Mark Lawrence,"",1503903265,digital,"","","","","","","","","","","","","","","","","",Yes
The Woven Ring,M.D. Presley,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Origin,Dan Brown,"",9780385514231,hardcover,"","","","","","","","","","","","","","","","","",Yes
Demon,Rob J. Hayes,"","",digital,"","","","","","","","","","","","","","","","","",Yes
Of Kings and Killers,Will Wight,"",0999851195,paperback,"","","","","","","","","","","","","","","","","",Yes
Blood for Blood,Victoria Selman,"",,paperback,"","","","","","","","","","","","","","","","","",Yes
King's League,"Jason Anspach, J.N. Chaney","",B09BQ2C5SS,digital,"","","","","","","","","","","","","","","","","",Yes
Promise of Blood,Brian McClellan,"",9780316219037,hardcover,"","","","","","","","","","","","","","","","","",Yes
Rise of the Dragon Queen (Legends of Ethota #1),Darrah Steffen,"","",paperback,"","","","","","","","","","","","","","","","","",Yes
The Wrack,John Bierce,"",B086WLH8TW,digital,"","","","","","","","","","","","","","","","","",Yes
Smoke and Mirrors: Short Fiction and Illusions,Neil Gaiman,"",0380789027,paperback,"","","","","","","","","","","","","","","","","",Yes
Chaos Trims My Beard,Brett Herman,"",,digital,"","","","","","","","","","","","","","","","","",Yes
"Balam, Spring",Travis M. Riddle,"",,,"","","","","","","","","","","","","","","","","",Yes
The Light of the Fireflies,Paul Pen,Simon Bruni (Translator),B016A31ZWC,digital,"","","","","","","","","","","","","","","","","",Yes
"Fatedancer (Books of the Ascendant, #1)",Francis James Blair,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Windward,S. Kaeth,"",,,"","","","","","","","","","","","","","","","","",Yes
Foundation,Isaac Asimov,"",9780553803716,hardcover,"","","","","","","","","","","","","","","","","",Yes
Awakened - Book One of The Quintessence: Crucible: (An Epic Cultivation LitRPG Saga),C.M. Carney,"",,,"","","","","","","","","","","","","","","","","",Yes
The Two Week Curse,Michael Chatfield,"",B07F7QQGZ9,digital,"","","","","","","","","","","","","","","","","",Yes
Under Alien Skies: A Sightseer's Guide to the Universe,Philip Plait,"",9780393867305,hardcover,"","","","","","","","","","","","","","","","","",Yes
"The Book of Lost Tales, Part Two","J.R.R. Tolkien, Christopher Tolkien","",,paperback,"","","","","","","","","","","","","","","","","",Yes
The Lost Road and Other Writings,"J.R.R. Tolkien, Christopher Tolkien","",,,"","","","","","","","","","","","","","","","","",Yes
Below,Lee Gaiteri,"",,,"","","","","","","","","","","","","","","","","",Yes
Of Sea and Shadow,Will Wight,Travis Baldree (Narrator),B081ZD3M4C,audio,"","","","","","","","","","","","","","","","","",Yes
Child of the Daystar,Bryce O'Connor,"","",digital,"","","","","","","","","","","","","","","","","",Yes
Pawn's Gambit,Rob J. Hayes,Kim Bretton (Narrator),B09BBP1QYR,audio,"","","","","","","","","","","","","","","","","",Yes
To Kill a Fae,Jamie A. Waters,"","",digital,"","","","","","","","","","","","","","","","","",Yes
Equalize,Ryan DeBruyn,"",,,"","","","","","","","","","","","","","","","","",Yes
Darkblade Avenger: Defenders of Legend Omnibus 1,Andy Peloquin,"",,,"","","","","","","","","","","","","","","","","",Yes
The Empress of Salt and Fortune,Nghi Vo,"",9781250750297,digital,"","","","","","","","","","","","","","","","","",Yes
Faithful Place,Tana French,"",9780670021871,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Unbroken Line of the Moon,"Johanne Hildebrandt, Tara Chace","",,digital,"","","","","","","","","","","","","","","","","",Yes
The Gray House,Mariam Petrosyan,Yuri Machkasov (Translator),9781503942813,paperback,"","","","","","","","","","","","","","","","","",Yes
Bibliomancer,"Dakota Krout, James A. Hunter","",B07VFHH2N1,digital,"","","","","","","","","","","","","","","","","",Yes
I Have No Mouth & I Must Scream,Harlan Ellison,"","",digital,"","","","","","","","","","","","","","","","","",Yes
The Wastes of Keldora: An Automation Crafting LitRPG Adventure (Factory of the Gods Book 1),Alex Raizman,"",B08FBP4TRD,digital,"","","","","","","","","","","","","","","","","",Yes
What We Owe the Future,William MacAskill,"",9781541618626,hardcover,"","","","","","","","","","","","","","","","","",Yes
Thrawn,Timothy Zahn,"",9780345511270,hardcover,"","","","","","","","","","","","","","","","","",Yes
The Lays of Beleriand,"J.R.R. Tolkien, Christopher Tolkien","",,,"","","","","","","","","","","","","","","","","",Yes
Gardens of Mist,Will Wight,"",,digital,"","","","","","","","","","","","","","","","","",Yes
The Blood Tartan,Raymond St. Elmo,"","",digital,"","","","","","","","","","","","","","","","","",Yes
When the Tiger Came Down the Mountain,Nghi Vo,"",9781250786135,paperback,"","","","","","","","","","","","","","","","","",Yes
Bloodline: Rise,Jonatan Håkansson,"",,,"","","","","","","","","","","","","","","","","",Yes
Animal Farm,George Orwell,Téa Obreht (Contributor),9780451526342,paperback,"","","","","","","","","","","","","","","","","",Yes
"Beowulf: A Translation and Commentary, together with Sellic Spell",Unknown,"J.R.R. Tolkien (Translator), Christopher Tolkien (Contributor)","",hardcover,"","","","","","","","","","","","","","","","","",Yes
Winter Harvest: A LitRPG Sci-Fi Adventure,Dawn Chapman,"",,,"","","","","","","","","","","","","","","","","",Yes
Changing Faces,Sarah Lin,"",,digital,"","","","","","","","","","","","","","","","","",Yes
Beneath Black Sails,Clare Sager,"","",digital,"","","","","","","","","","","","","","","","","",Yes
Tales from the Perilous Realm,J.R.R. Tolkien,Alan Lee (Illustrator),9780547154114,hardcover,"","","","","","","","","","","","","","","","","",Yes
