Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Batman: The Killing Joke,"Tim Sale, Alan Moore, Brian Bolland","",9781845767723,hardcover,read,2022/07/27,"","",1,"",,,,,,,,,"",,"",No
Dungeon Crawler Carl,Matt Dinniman,Jeff Hays (Narrator),9798882327780,audio,read,2023/10/30,2024/08/28,2024/08/28,1,"",,"","","","","",4.75,"","","","",Yes
Necropolis,Anthony Horowitz,"",,paperback,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
Spirits of Vengeance,Rob J. Hayes,"",9780957666894,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,monster-hunting,No
The Dragon Reborn,Robert Jordan,"Kate Reading (Narrator), Michael Kramer (Narrator)",B0006IU3BC,audio,read,2022/01/01,2023/02/09,2023/01/03-2023/02/09,1,"adventurous, inspiring, tense",medium,A mix,Yes,Yes,Yes,Yes,4.75,"","","","",No
Lord of the Flies,William Golding,"",9780140283334,paperback,read,2016/12/26,"","",1,"",,,,,,,3.0,,"",,"",No
"The Mighty Thor, Vol. 2: Lords of Midgard",Jason Aaron,"Rafa Garres (Illustrator), Russell Dauterman (Illustrator)",9780785195238,hardcover,read,2022/07/12,2022/07/12,2022/07/12-2022/07/12,1,adventurous,fast,Plot,No,Yes,No,Yes,3.75,"","","","",No
Skeleton Key,Anthony Horowitz,"",0142406147,paperback,read,2016/12/26,"","",1,"",,,,,,,,,"",,"",No
Carl's Doomsday Scenario,Matt Dinniman,Jeff Hays (Narrator),B0934GTSGT,audio,read,2024/12/11,2024/12/16,2024/12/11-2024/12/16,1,"adventurous, funny, lighthearted, reflective",fast,A mix,Yes,Yes,No,No,4.0,"","","","",No
Hogfather,Terry Pratchett,"Sian Clifford (Narrator), Peter Serafinowicz (Narrator), Bill Nighy (Narrator)","",audio,read,2022/01/01,2025/01/10,2024/12/17-2025/01/10,1,"funny, hopeful, lighthearted",fast,Plot,No,Yes,No,No,3.75,"","","","",No
Guards! Guards!,Terry Pratchett,"",9780061804793,digital,read,2020/09/15,2022/05/04,2022/04/19-2022/05/04,1,funny,fast,Plot,Yes,Yes,Yes,No,5.0,"","","","",No
Berserk Deluxe Volume 6,Kentaro Miura,Duane Johnson (Translator),9781506715230,hardcover,read,2026/02/24,2025/11/25,2025/11/24-2025/11/25,1,"",,,,,,,,,"",,"",No
The Oathsworn Legacy,K.R. Gangi,"",9798864849743,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"self-pub, monster-hunting",No
Breach of Peace,Daniel B. Greene,"",B08X7HY537,digital,read,2021/04/13,2021/06/04,2021/06/01-2021/06/04,1,"",,"","","","","",3.75,"","","","",Yes
The Warlock,Michael Scott,"",9780385735339,hardcover,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
Witchy Eye,D.J. Butler,"",9781476782119,hardcover,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,self-pub,No
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"",9780544272644,digital,read,2016/12/26,"","",1,"",,,,,,,4.0,,"",,"",No
Making Money,Terry Pratchett,"",9780552167703,paperback,to-read,2026/02/26,"","",0,"",,,,,,,,,"",,"",No
Vision of the Future,Timothy Zahn,"","",hardcover,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
Berserk Deluxe Volume 2,Kentaro Miura,Duane Johnson (Translator),9781506711997,hardcover,read,2024/11/13,2024/12/20,2024/10/31-2024/12/20,1,"",,,,,,,,,"",,"",No
Stories of Your Life and Others,Ted Chiang,"",9780330426640,paperback,read,2022/07/17,2023/07/22,2023/07/06-2023/07/22,1,"inspiring, mysterious, reflective",fast,Plot,No,It's complicated,Yes,No,4.75,,"","","",No
The Stand,Stephen King,"",0385199570,hardcover,read,2020/06/09,2020/10/02,2020/10/02,1,"",,,,,,,4.0,"Great story for the journey, but the ending wasn't as satisfying as it could have been.","",,"",Yes
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,"",9781524708849,audio,read,2024/01/11,2025/03/14,2025/03/08-2025/03/14,1,"dark, informative, tense",medium,,,,,,4.0,"","","","",No
Original Sin,"Dan Slott, Ramon Villalobos, Jason Aaron, Al Ewing, Mark Waid, Charles Soule, Chip Zdarsky, Mark Bagley, Ryan North, Julian Totino-Tedesco, James Robinson, Mike Deodato Jr., Jim Cheung","",,paperback,read,2022/07/08,"","",1,"adventurous, lighthearted",fast,Plot,Yes,No,Yes,Yes,4.0,"","","","",No
The Promise,"Bryan Konietzko, Michael Dante DiMartino, Gene Luen Yang","",9781506717845,paperback,read,2020/09/13,"","",1,"",,,,,,,4.0,,"",,"",Yes
The Mark of Athena,Rick Riordan,"",B007TBZ63Y,digital,read,2016/12/26,"","",1,"",,,,,,,5.0,,"",,"",No
